Nombre,Simbolo,,,,,,,,,,,,,,
hidrogeno,H,,,,,,,,,,,,,,
helio,He,,,,,,,,,,,,,,
litio,Li,,,,,,,,,,,,,,
berilio,Be,,,,,,,,,,,,,,
boro,Be,,,,,,,,,,,,,,
carbono,C,,,,,,,,,,,,,,
nitrogeno,N,,,,,,,,,,,,,,
oxigeno,O,,,,,,,,,,,,,,
fluor,F,,,,,,,,,,,,,,
neon,Ne,,,,,,,,,,,,,,
sodio,Na,,,,,,,,,,,,,,
magnesio,Mg,,,,,,,,,,,,,,
aluminio,Al,,,,,,,,,,,,,,
silicio,Si ,,,,,,,,,,,,,,
fosforo,P,,,,,,,,,,,,,,
azufre,S,,,,,,,,,,,,,,
cloro,Cl,,,,,,,,,,,,,,
argon,Ar,,,,,,,,,,,,,,
potasio,K,,,,,,,,,,,,,,
calcio,Ca,,,,,,,,,,,,,,
escandio,Sc,,,,,,,,,,,,,,
titanio,Ti,,,,,,,,,,,,,,
vanadio,V,,,,,,,,,,,,,,
cromo,Cr,,,,,,,,,,,,,,
manganeso,Mn,,,,,,,,,,,,,,
hierro,Fe,,,,,,,,,,,,,,
cobalto,Co,,,,,,,,,,,,,,
niquel,Ni,,,,,,,,,,,,,,
cobre,Cu,,,,,,,,,,,,,,
zinc,Zn,,,,,,,,,,,,,,
galio,Ga,,,,,,,,,,,,,,
germanio,Ge,,,,,,,,,,,,,,
arsenico,As,,,,,,,,,,,,,,
selenio,,,,,,,,,,,,,,,
bromo,Se,,,,,,,,,,,,,,
kripton,Br,,,,,,,,,,,,,,
rubidio,Kr,,,,,,,,,,,,,,
estroncio,Rb,,,,,,,,,,,,,,
itrio,Sr,,,,,,,,,,,,,,
zirconio,Y,,,,,,,,,,,,,,
niobio,Zr,,,,,,,,,,,,,,
molibdeno,Nb,,,,,,,,,,,,,,
tecnecio,Mo,,,,,,,,,,,,,,
rutenio,Tc,,,,,,,,,,,,,,
rodio,Ru,,,,,,,,,,,,,,
paladio,Rh,,,,,,,,,,,,,,
plata,Pd,,,,,,,,,,,,,,
cadmio,Ag,,,,,,,,,,,,,,
indio,Cd,,,,,,,,,,,,,,
estaño,In,,,,,,,,,,,,,,
antimonio,Sn,,,,,,,,,,,,,,
teluro,Sb,,,,,,,,,,,,,,
yodo,Te,,,,,,,,,,,,,,
xenon,I,,,,,,,,,,,,,,
cesio,Xe,,,,,,,,,,,,,,
bario,Cs,,,,,,,,,,,,,,
lantano,Ba,,,,,,,,,,,,,,
cerio,La,,,,,,,,,,,,,,
paseodimio,Ce,,,,,,,,,,,,,,
neodimio,Pr,,,,,,,,,,,,,,
prometio,Nd,,,,,,,,,,,,,,
samario,Pm,,,,,,,,,,,,,,
europio,Sm,,,,,,,,,,,,,,
gadolinio,Eu,,,,,,,,,,,,,,
terbio,Gd,,,,,,,,,,,,,,
disprosio,Tb,,,,,,,,,,,,,,
holmio,Dy,,,,,,,,,,,,,,
erbio,Ho,,,,,,,,,,,,,,
tulio,Er,,,,,,,,,,,,,,
iterbio,Tm,,,,,,,,,,,,,,
lutecio,Yb,,,,,,,,,,,,,,
hafnio,Lu,,,,,,,,,,,,,,
tantalio,Hf,,,,,,,,,,,,,,
wolframio,Ta,,,,,,,,,,,,,,
renio,W,,,,,,,,,,,,,,
osmio,Re,,,,,,,,,,,,,,
iridio,Os,,,,,,,,,,,,,,
platino,Ir,,,,,,,,,,,,,,
oro,Pt,,,,,,,,,,,,,,
mercurio,Au,,,,,,,,,,,,,,
talio,Hg,,,,,,,,,,,,,,
plomo,Tl,,,,,,,,,,,,,,
bismuto,Pb,,,,,,,,,,,,,,
polonio,Bi,,,,,,,,,,,,,,
astato,Po,,,,,,,,,,,,,,
radon,At,,,,,,,,,,,,,,
francio,Rn,,,,,,,,,,,,,,
radio,Fr,,,,,,,,,,,,,,
actinio,Ra,,,,,,,,,,,,,,
torio,Ac,,,,,,,,,,,,,,
protactinio,Th,,,,,,,,,,,,,,
uranio,Pa,,,,,,,,,,,,,,
neptunio,U,,,,,,,,,,,,,,
plutionio,Np,,,,,,,,,,,,,,
americio,Pu,,,,,,,,,,,,,,
curio,Am,,,,,,,,,,,,,,
berkelio,Cm,,,,,,,,,,,,,,
californio,Bk,,,,,,,,,,,,,,
einstenio,Cf,,,,,,,,,,,,,,
fermio,Es,,,,,,,,,,,,,,
mendelevio,Fm,,,,,,,,,,,,,,
nobelio,Md,,,,,,,,,,,,,,
laurencio,No,,,,,,,,,,,,,,
rutherfordio,Lr,,,,,,,,,,,,,,
dubnio,Rf,,,,,,,,,,,,,,
seaborgio,Db,,,,,,,,,,,,,,
bohrio,Sg,,,,,,,,,,,,,,
hassio,Bh,,,,,,,,,,,,,,
meitnerio,Hs,,,,,,,,,,,,,,
darmstatio,Mt,,,,,,,,,,,,,,
roentgenio,Ds,,,,,,,,,,,,,,
copernicio,Rg,,,,,,,,,,,,,,
nihonio,Cn,,,,,,,,,,,,,,
flerovio,Nh,,,,,,,,,,,,,,
moscovio,Fl,,,,,,,,,,,,,,
livermorio,Mc,,,,,,,,,,,,,,
teneso,Lv,,,,,,,,,,,,,,
oganeso,Ts,,,,,,,,,,,,,,
,Og,,,,,,,,,,,,,,
